publish_date,headline_category,headline_text
20220101,astrology.horoscope.yearly,"Aries Horoscope 2022: Yearly Predictions"
20220101,astrology.horoscope.yearly,"Taurus Horoscope 2022: Yearly Predictions"
20220101,astrology.horoscope.yearly,"Gemini Horoscope 2022: Yearly Predictions"
20220101,astrology.horoscope.yearly,"Cancer Horoscope 2022: Yearly Predictions"
20220101,astrology.horoscope.yearly,"Leo Horoscope 2022: Yearly Predictions"
20220101,astrology.horoscope.yearly,"Virgo Horoscope 2022: Yearly Predictions"
20220101,astrology.horoscope.yearly,"Libra Horoscope 2022: Know you yearly predictions here"
20220101,astrology.horoscope.yearly,"Scorpio Horoscope 2022: Know your yearly predictions here"
20220101,astrology.horoscope.yearly,"Sagittarius Horoscope 2022: Know your yearly predictions here"
20220101,astrology.horoscope.yearly,"Capricorn Horoscope 2022: Know your yearly predictions here"
20220101,astrology.horoscope.yearly,"Aquarius Horoscope 2022: Know your yearly predictions here"
20220101,astrology.horoscope.yearly,"Pisces Horoscope 2022: Know your yearly predictions here"
20220101,astrology.horoscope.monthly,"Monthly horoscope January 2022: Know your monthly prediction"
20220101,astrology.horoscope.yearly,"Aries yearly predictions 2022: Education; career; business; love; marriage; children"
20220101,astrology.horoscope.yearly,"Taurus yearly predictions 2022: Education; career; business; love; marriage; children"
20220101,astrology.horoscope.yearly,"Gemini yearly predictions 2022: Education; career; business; love; marriage; children"
20220101,astrology.horoscope.yearly,"Cancer yearly predictions 2022: Education; career; business; love; marriage; children"
20220101,astrology.horoscope.yearly,"Leo yearly predictions 2022: Education; career; business; love; marriage; children"
20220101,astrology.horoscope.yearly,"Virgo yearly predictions 2022: Education; career; business; love; marriage; children"
20220101,astrology.horoscope.yearly,"Libra yearly predictions 2022: Education; career; business; love; marriage; children"
20220101,astrology.horoscope.yearly,"Scorpio yearly predictions 2022: Education; career; business; love; marriage; children"
20220101,astrology.horoscope.yearly,"Sagittarius yearly predictions 2022: Education; career; business; love; marriage; children"
20220101,astrology.horoscope.yearly,"Capricorn yearly predictions 2022: Education; career; business; love; marriage; children"
20220101,astrology.horoscope.yearly,"Aquarius yearly predictions 2022: Education; career; business; love; marriage; children"
20220101,astrology.horoscope.yearly,"Pisces yearly predictions 2022: Education; career; business; love; marriage; children"
20220101,entertainment.kannada.movies.news,"Being optimistic is the only weapon we have right now: Yash"
20220101,entertainment.kannada.movies.news,"Actress Aditi Prabhudeva engaged to coffee planter"
20220101,entertainment.tamil.movies.news,"Mohan to make a comeback in an action avatar"
20220101,tv.news.hindi,"Self-care and focus on life beyond work: TV celebs' New Year goals"
20220101,city.mangaluru,"Schemes to attract youth towards handloom industry on anvil"
20220101,city.mangaluru,"People throng beaches on NYE; asked to leave by 7pm"
20220101,tv.news.hindi,"Bigg Boss 15: Salman Khan pokes fun at Abhijeet Bichukale; calls him 'Sukha hua Nana Patekar'"
20220101,city.delhi,"Delhi shivered at 3.8 degrees Celsius on Friday as AQI slipped into very poor category"
20220101,city.ranchi,"6 labourers killed; 18 injured in road accident in Jharkhand"
20220101,business.india-business,"Truck rentals go up 3%-4% in December"
20220101,india,"2 Pakistanis among 3 Jaish terrorists killed in Srinagar"
20220101,business.india-business,"SBI seeks to recruit digital chief laterally"
20220101,india,"NIA arrest Lashkar's TRF operative in Srinagar"
20220101,business.india-business,"Sensex gains 22% in 2021 to end over 58k"
20220101,business.india-business,"I-Pru MF to launch India's first silver ETF"
20220101,business.india-business,"RIL acquires battery tech provider in UK for 100mn pounds"
20220101,business.india-business,"Current account hits $9.6bn deficit"
20220101,entertainment.hindi.music.news,"Shilpa Rao: The Grammy was never on my list; but when I was nominated I was extremely happy"
20220101,entertainment.hindi.music.news,"shaan songs shows and television 2022 has it all in store for me"
20220101,city.delhi,"Delhi: Starvation; debt trap bigger viruses being battled by migrants"
20220101,india,"Numbers rise but government cautiously optimistic on Omicron effect"
20220101,city.delhi,"Delhi University uses digilocker to verify more than 1 lakh documents"
20220101,city.madurai,"Fresh cases climb to 83 in south TN; 28 in central"
20220101,city.madurai,"Crowded lifts and maskless faces in private hospitals"
20220101,city.delhi,"DU to conduct another round of OBE in Jan"
20220101,business.india-business,"Government asks Apple to make goods worth $50 billion/year in India"
20220101,india,"69% of 60+ and 73% of those aged 45-59 fully vaccinated"
20220101,india,"Covid: National tally crosses 22;000 with 36% jump in 24 hours"
20220101,city.lucknow,"11 govt-run schools in Barabanki to get smart classes"
20220101,city.lucknow,"Uttar Pradesh reports 251 fresh Covid cases in 24 hours; Noida tops with 61"
